text,hate label,language label,0.5,0.6,0.7,0.8,0.9
"Naglapana ang naka orange sa Maynila. Akala ko si Binay, si Erap pala ang may kampanya pero wait may pinagkaiba ba? #TrafficAlert",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"""Beauty is power,."" If wala kay power, wala kay beauty. In other words, Powerful lage si Binay.",0,Filipino,English,English,English,English,English
@yffar03 Bakit napunta kay Binay? Huhuhu.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
desperate move Mar Roxas! desperate move! https://t.co/o9VILk1OKH,1,English,n/a,n/a,n/a,n/a,n/a
"Kahit sino man manalo sa kanila ni duterte, poe at miriam wag ang yung dalawa but mas bet ko du30 ????",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
INC si Kath Bernardo tas nag endorse kay Mar Roxas. Whoot?,0,Filipino,English,English,English,English,English
Jusko puro mukha ni Mar Roxas nasa TV.,1,Filipino,n/a,n/a,n/a,n/a,n/a
Mayor Junjun Binay visiting the wake of lolo's kumpadre. https://t.co/fDCJdfrDhf,0,English,English,English,n/a,n/a,n/a
Chiz: I’m not leaving Grace to join Binay https://t.co/4LmE0he8VY #DefiningTheNews https://t.co/fqnA675byo,0,English,n/a,n/a,n/a,n/a,n/a
"Poe's citizenship, Binay's wealth, Roxas' actions, Duterte's words, Santiago's health.",0,English,English,English,English,English,English
Mar Roxas at Leni Robredo lang po. https://t.co/qs66gnvOJu,0,Filipino,n/a,n/a,n/a,n/a,n/a
Buti na lang di pa Presidente si Duterte kundi patay ka ng Snatcher ka ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@Pepe_Alas Binay actually looks like Nidora. Hahaha #ALDUBTheLetter,0,English,English,English,n/a,n/a,n/a
"Now I think that the Alma Moreno interview, same w/ Binay during the UPLB forum, is a form of act to gain sympathy and popularity. #PRworks",0,English,English,English,English,English,English
"On toughest opponent of Roxas, Robredo said ""Everybody's game but VP Binay had already organized (campaign) long before."" #PHVote",0,English,English,English,English,English,English
Poe shrugs off Binay-Escudero chance meeting; it’s not surprising https://t.co/AK3cHQhBXS | via INQUIRER,0,English,English,n/a,n/a,n/a,n/a
"Palasyo, pumalag sa paninisi ni Binay sa Zapanta case

Mariing inalmahan ng Malacañang ang paninisi sa kanila ni... https://t.co/JY2zJV3GqV",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Umay ako sa Paid TV ad mo Sir VP Binay. Masyado na garapalan.,1,Filipino,Filipino,Filipino,Filipino,n/a,n/a
"#TV5Aksyon | Liberal Party, hindi nababahala kung hindi nangunguna sa election surveys si Mar Roxas. #News5Aksyon",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
I'm a responsible Filipino and I will not vote for Mar Roxas. Wala kang mauuto. Di ka mananalo! #AyawSaDILAW,1,Filipino,English,English,English,English,English
Another reason to hate Jejomar Binay https://t.co/u7NcEqfMMj,1,English,English,English,English,n/a,n/a
@dzIQ990 @jay_dones black propaganda nga nmn tlga e. Khit gnun mdmi prin sumosuporta kay VP Binay #PHVoteBinay,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Forget Ayala skyline, look beyond: Abi Binay https://t.co/zQbc7GaoMT https://t.co/sS03oJdXwf",0,English,English,n/a,n/a,n/a,n/a
"SA GINAWA NI MAR ROXAS, MAS LALONG MARAMING SUSUPORTA KAY DU30! PATI MGA LOCAL CANDIDATES NA DILAW AY MAGULO NA RIN. https://t.co/naduYvrLzV",1,Filipino,n/a,n/a,n/a,n/a,n/a
Lolol naalala ko may kumalat na chika na inofferan ni Mar Roxas si Alden ng 100M pero tinanggihan. Tapos ngayon bigla si DJ na mag eendorse,1,Filipino,n/a,n/a,n/a,n/a,n/a
May nagbigay ng orasan samin may muka ni Binay wtf,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Duterte and Marcos still leads at 8 % of the votes coming in. Poe overtakes Roxas for second place while Robredo... https://t.co/OHYyxO2Pta,0,English,English,English,English,English,n/a
"""I call for unity, i call for decency, i call for democracy""-mar roxas. then he should consider stepping down as early as now??? #PHVote2016",0,English,English,English,English,English,English
"Binay no.1 pa rin sa SWS survey; Duterte, Poe patas sa pangalawang pwesto https://t.co/2m0w8kSrw3 | via Bombo Radyo",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
#marroxas and #LeniRobledo: To LEAD is to SERVE! Let's choose SERVANT LEADERS.Not Thieves; Not Tyrants. The EQ Post https://t.co/HdmhuBqLgG,0,English,English,English,English,n/a,n/a
It's really a fight between HHMNBN and @MARoxas! And the good shall prevail! #PHVoteRoxas #SwitchToMar https://t.co/msBhjQjlB7,0,English,English,English,English,English,n/a
"Kahet stress, napawi nung nakita kita. Binay!?????? https://t.co/ZFtIrmlG0B",0,Filipino,n/a,n/a,n/a,n/a,n/a
[NATION] VP Binay to kick off campaign in Mandaluyong  https://t.co/CLAlv8yhR3 | via GMA News,0,English,English,English,English,English,n/a
"Roxas, PNoy are obviously the ones behind Trillanes' attacks vs Duterte. Does anyone still think otherwise? https://t.co/iMgE6bHmKt",0,English,English,English,English,English,English
"Mar Roxas, you are an embarrassing idiot. #LaglagBala",1,English,English,English,English,English,English
May bumoboto pala kay Mar Roxas? ??????,0,Filipino,English,English,English,English,English
"@jairagizelle ow, Sorry naman, HAHA sabi ko ke silang itext si binay hindi na ako nireplyan.",0,Filipino,n/a,n/a,n/a,n/a,n/a
Walang katapusan na aking ama ni grace poe.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"@JoshuaSenpai_ HAHAHAHAHA. Ang tatag na trabaho non pre. mas mahirap pa sa dinanas ni pacquiao, pati binay hahaha",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@giselleallyn teritoryo ni Binay yun G. Haha,0,Filipino,English,English,English,English,English
Wth . Roxas never been #2 in surveys . Somethings fishy .,1,English,English,English,English,English,n/a
@mgvtrb traPoe na oPoertunista pa! Bagay na bagay sa ka-tandem nya! @angie521_g @PHVote,1,Filipino,n/a,n/a,n/a,n/a,n/a
RT @joshuasanrafael: Bakit dahil kay Binay nakilala kaming mga nognog?,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Parang survey lang,pinalamang sa umpisa c Marcos hanggang pingdidikit na sa huli!! MAR ROXAS / LENI ROBREDO CHEATERS!!!",1,Filipino,n/a,n/a,n/a,n/a,n/a
"Mar Roxas has a big problem in Iloilo.
In September 2015, a poll survey in the province showed he garnered 66% of... https://t.co/QxzVyxY0CV",0,English,English,English,English,English,English
Binay says he doesn't know where friend Gerry Limlingan and aide Ebeng Baloloy are. #PHvote,0,English,English,English,English,English,English
"Sa dami ng bumabatikos kay VP BINAY, wlang sinuman ang makapag pabagsak sa isang taong tumutulong!
ATRAS NA POE
#OnlyB1NAYangat",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Tsk tsk,dati galit na galit si Binay kay GMA kasi pina suspend sya tapos ngayon sila sila magkakampi, PInas nga nman https://t.co/snpvh19ukf",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Yabang mo Mar Roxas, panay parinig mo sa mga kalaban... Booooooo!!!??????",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Wag niyong eboto si Roxas at Binay! Maawa kayo sa Pilipinas! #DuterteCayetano,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Binay is such a f??cking joke! As if sigurado na syang mananalo sa election! ?? https://t.co/amfjG9Xjfu,1,Filipino,English,English,English,English,English
"Hindi pa tapos ang #LabanLeni!

Grace, I didn't vote for you, but I'd choose you over Rody any day! #GracePoeHashtag (Sorry, clueless.)",0,English,English,English,English,English,English
Only binay is out of this world. Lol nakakaimbyerna,1,English,English,English,English,n/a,n/a
Big joke pa yung sinabi ng Pres na wala raw siyang alam na invited si Binay at di raw siya assoc sa pagpapapunta.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Conyo naman this Binay. ?? https://t.co/p4q5dV7vAU,0,Filipino,n/a,n/a,n/a,n/a,n/a
"ay ganun ba. sana ang baller na sinuot nalang pala nakalagay ""m4R r0x4zx"" kasi ""mar roxas"" naman sa balota noh.  https://t.co/Ur01hYh9A4",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @TropangMARangal: Mar Roxas: ""Kinokondena natin ang mga sakim at makasariling taong ito na nambibiktima sa ating mga kababayan."" https:/…",1,Filipino,Filipino,Filipino,Filipino,n/a,n/a
"@FloresPilita Pamatong and d other looney's have no chance of getting elected, but Poe could be alternative to Roxas and Binay",0,English,English,English,English,English,English
"Nognog, pandak pero ang dami paring nanakaw. Yan si Binay. :3",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@xpeanutgalleryx @cebudailynews @VektorSelba UNA identify kay Binay...and BINAY known as... A lot to mention ??,0,English,English,English,English,English,English
"Fak, even using the hashtag #BinayPaRin disgusts me. But still undecided so....",1,English,English,English,English,English,n/a
"RT @oiragasm: si binay ay nognog, pandak, laki sa hirap pero di tulad ng iba, siya ay nanggaling sa planet yekok",1,Filipino,Filipino,Filipino,Filipino,n/a,n/a
Grabe yung ht. hahahahaha binubully na naman nila si binay ?? jk,0,Filipino,n/a,n/a,n/a,n/a,n/a
Shet relate ako sa pandak commercial ni binay ??,0,Filipino,Filipino,n/a,n/a,n/a,n/a
UNA senatorial bet Allan Montaño gamely shakes finger in curtain-raising speech for Binay | via @mbellsonaq https://t.co/2BM5tzgOxr,0,English,English,English,n/a,n/a,n/a
@kxmbng kabisado ampota haha yie stalker si binay,1,Filipino,n/a,n/a,n/a,n/a,n/a
"Integrity, experience, putting country above self...definitely that is Mar Roxas. ?????? #RoxasNa #YestoMar https://t.co/C6rVw4ILv5",0,English,English,English,English,English,n/a
"Grabe propaganda technique ni Binay.. hahaha nognog, pandak..

#plainfolk #ads #propagandatechnique",1,Filipino,n/a,n/a,n/a,n/a,n/a
@JayBudoy TANG INA NI MAR ROXAS PUKI NG INA NYA!~,1,Filipino,n/a,n/a,n/a,n/a,n/a
I thought matino pa tong si APC. Now Im beginning to think he is behind black props vs Mar. Not excluding Binay yet. https://t.co/vh40H8h9Xj,1,English,English,English,English,English,n/a
RT @TropangMARangal: No one else but Mar Roxas for our ka-Tropang Paul! MARaming salamat po. #RoxasNa https://t.co/EorNSKWLOO,0,English,English,n/a,n/a,n/a,n/a
"Still, Miriam Defensor Santiago &gt; Rodrigo Duterte",0,English,n/a,n/a,n/a,n/a,n/a
Honasan says he would be be the first to demand accountability if Binay is found liable before the court over corruption #VotePH2016,0,English,English,English,English,English,English
ANO BA TALAGA ANG IPAPANALO ABS-CBN? ANG PAMILYANG PILIPINO BA O SI MAR ROXAS? ??,1,Filipino,n/a,n/a,n/a,n/a,n/a
Iniendorso na pala ni Daniel Padilla si Mar Roxas,0,Filipino,n/a,n/a,n/a,n/a,n/a
"Three SC Justices, including Nancy Binay, voted for the disqualification of Sen Poe on the ground that a... https://t.co/ywiU8yKfoo",0,English,English,English,English,English,English
The foreign investor community is scared of a binay presidency and predicts that they might stay away if he wins.... https://t.co/H9jGnB4bE8,0,English,English,English,English,English,English
Binay gets American political strategists https://t.co/sgAmcMOUkO,0,English,English,English,English,English,n/a
Asawa daw ni Jejomar Binay si Nancy? Hahah. Lol.,0,Filipino,n/a,n/a,n/a,n/a,n/a
Binay: More poor Filipinos under Aquino administration https://t.co/peKQWGLbWT | via INQUIRER,0,English,n/a,n/a,n/a,n/a,n/a
Sen. Enrile on Binay's alleged link with Gerardo Limlingan: Hindi ko nakikita linya ni Binay dun eh.,0,English,n/a,n/a,n/a,n/a,n/a
https://t.co/pr0255PlN9 https://t.co/k8so9Ui1Yo,1,English,n/a,n/a,n/a,n/a,n/a
"Lol diba dapat manalo na lahat wag lang si Binay, Poe at Marcos.

Choosing Binay over Roxas, srsly??????",0,Filipino,English,English,English,English,English
Kung magiging presidente si binay sana unahin nyang ayusin ang UMAK ?? tapos tanggalin nya sana ang mga prof na hindi nagtuturo ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
RT @jellyxxford: ang korni talaga ng mga commercial ni binay hahahahah,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Juice ko po. Roxas, Manny at Binay kaya pla traffic pa navotas. Halos wala ng bumyaheng Jeep. Gabi pa sila... https://t.co/E1esA18nue",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Binay Senate slate:Pacquiao, Napeñas,Alma Moreno,Kiram,Montaño,Langit, Sotto,Lacson, Gordon, Zubiri, Romualdez, Ople https://t.co/9VZMrlkRVN",0,English,n/a,n/a,n/a,n/a,n/a
"Duterte to Roxas:

""Mar, habulin mo'ko"" ??????

#Roxasparin #RoxasRobredo 
#RoxasForPresident",0,Filipino,n/a,n/a,n/a,n/a,n/a
@ellemagaro malalim b pngsamahan nio ni binay? Bat parang ang affected mo? :)) close b kayo?!,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Mercado owned ‘dummy’ firms, alleged Binay bagman claims https://t.co/C7GjhF0w0H | @Team_Inquirer https://t.co/gteXK8CsBk",0,English,English,n/a,n/a,n/a,n/a
Mar Roxas - PUTANG INA ANO BA TO!!! https://t.co/xHfpdERTfp,1,Filipino,n/a,n/a,n/a,n/a,n/a
Mendoza: Hanggang ngayon naman wala pang napapatunayan laban sa kanya (Binay) @iamalexsantos,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Honasan kay VP Binay: Para sa akin, unfair kung mag-express ako ng opinyon.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"#Newsreport LP standard bearer Mar Roxas, namimili umano ng boto ayon sa kampo ni VP Binay I via Allan Francisco",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Why Duterte? :3  Sana tumakbo kana nalang next election :( Sayang ang boto kung maglalaban kayo ni Miriam :(,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Tularan si Binay,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
‘What sacks of evidence?’: Trillanes says Binay lying in pol ad https://t.co/P5v8dE7kw0 | via INQUIRER,0,English,English,English,English,n/a,n/a
"""At hindi rin naman lahat ng nognog at pandak, mahirap.""
(E.g. IKAW, BINAY. IKAW) https://t.co/ufv6gpXPDX",1,Filipino,English,English,English,English,English
Kaasar puro binay nasa news papansin tsk ??,1,Filipino,n/a,n/a,n/a,n/a,n/a
Kung sana ikaw nlang ang pumunta dito sa Bukidnon Grace Poe hindi na sana na delayed kanina ang byahe ng mga commuters sa kawalan ng bus.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @PhilippineStar: Roxas, not Binay is leading spender for poll ads, says VP’s camp | https://t.co/TQW8j08zYE https://t.co/65lNyaITQl",0,English,English,English,English,n/a,n/a
"Si Binay nasa Buhi, Camarines Sur at sa probinsya ko pa pumunta ka, LETSE! Sa mga probinsya NANLOLOKO ANG LOKO. #NoToBinay2016",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
budol budol gang. hindi aabot ang eleksyon butete na sa laki ng tyan tong si Binay. KainPaMore! https://t.co/tRaKOnEf4x,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Binay says Yolanda rehabilitation mismanaged. ""Ipinagmamalaki pa nilang 51% na after 2 years. This is disaster in terms of management""",0,English,English,English,English,English,English
How ironic is it that Binay is campaigning against corruption ?? The only way for that to be successful is for him to withdraw his candidacy.,1,English,English,English,English,English,English
"Binay's team starts their campaign in Nasugbu, Batangas. #BilangPilipino | via @mongualvez  https://t.co/hylxXVGvQB",0,English,English,English,English,n/a,n/a
Kahit sino na manalo sa President wag lang po si Mar Roxas ????????,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Nakakatawang isipin na nagpapakahirap sila para kay Mar Roxas. What the fvck ?? @ Brgy. Sta.Maria… https://t.co/ZojksD9aWv,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@ANCALERTS this early you can tell who he really is. Just please resign as a member of LP if you're supporting  not named Mar Roxas.,0,English,English,English,English,English,English
BINAY IS NOGNOG @Pakycheda,1,English,n/a,n/a,n/a,n/a,n/a
"Headline for the day: ""The EQualizer Post: Grace Poe versus Mar Roxas: Compare and Contrast Their ACHIEVEMENTS""",0,English,English,English,English,n/a,n/a
#1Mister5Misis #Duterte2016 BATB Failon Ngayon Only Binay,0,English,n/a,n/a,n/a,n/a,n/a
Puro kayo kay sandro sakin na nga e. ???? Andyan pa yung anak ni binay oy. ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
[NEWS] Binay hit for blaming shelter woes on Roxas  https://t.co/aQuqhu9Ilu | via Manila Standard,0,English,English,English,English,n/a,n/a
#Eleksyon2016 Mar Roxas 'Di Ako Magnanakaw' commercial is so ugly! His face is so near d camera and he is not the handsomest guy in country.,1,English,English,English,English,English,English
"@LuckyBryanM no, binay to. Nognog pandak at laki sa hirap ??",1,Filipino,n/a,n/a,n/a,n/a,n/a
"‘GIVE IT UP, MAR, IF YOU CHEAT YOU’LL DESTROY THIS COUNTRY’ - An Open Letter To Mar Roxas https://t.co/74Yl0giPfM",1,English,English,n/a,n/a,n/a,n/a
"Dahil kay Binay, wala kaming klase ngayon. Salamat Binay.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Moot because of his dismissal. CA junks Junjun Binay's petition vs 2nd suspension order via @rapplerdotcom https://t.co/ITosQCNuyB,0,English,English,English,English,English,English
"I find both Binay and Roxas, desperate... ????",1,English,English,English,English,English,English
Fuck marcos &amp; binay,1,English,n/a,n/a,n/a,n/a,n/a
RT @MyJapszx: @paulaanica wag mo binabasag yung ad na Oily Binay este Only Binay hahaha!,1,Filipino,n/a,n/a,n/a,n/a,n/a
"POE, MAR AND DUTERTE VS BINAY BA ITO?

#PiliPinasDebates2016",0,Filipino,n/a,n/a,n/a,n/a,n/a
"@teddyboylocsin I think the safe one is Grace Poe, at least according to the Catholic Church and the no. of mayors she has converted",0,English,English,English,English,English,English
"RT @letzky: I can't stand watching VP Binay's  'Nognog' ad. So contrived! ????.I hope he can keep it simple &amp; lay down his platform,instead. …",1,English,English,English,English,English,n/a
Only Binay... Only Binay... Tangina naman oh. Hindi ko pa rin yan iboboto kahit LSS ako sa kanta niya.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Ang bobo ni Mar Roxas. Pero mas duwag. Takot sa abusadong telcos.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@PHVote shame on this. what a disgrace,1,English,English,English,English,English,n/a
"You find a Binay/Poe/Duterte presidency amusing, acceptable, para lang matalo si Mar? Your trading PH's interest for your entertainment.",1,English,English,English,n/a,n/a,n/a
sawang sawa na ko sa face ni mar roxas grabe dami niyang tvc,1,Filipino,Filipino,n/a,n/a,n/a,n/a
"*New ad against Duterte*

""They're using kids bla-bla""

Like seriously are you protecting the kids or your candidate's image?

Hypocrites.",1,English,English,English,English,English,n/a
shet pangalawa pa si roxas HAHAHA too close kay duterte?? wag sanang humabol,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
": Tapos na term ni Binay as President of the Republic of the Philippines, si Raf at Alliah pa rin.",0,Filipino,English,English,English,English,English
"RT @ReclaimEDSA: May memory problems si Grace Poe? Di ba dinaya na nga tatay nya nung 2004, ninakawan pa ang bansa? #PanderPaMore https://t…",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Ang nakakatakot eh subrang desperado na ni Mar Roxas, masmalala pa ni Binay.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"VP Binay hits Poe, saying he never abandoned his country. What he failed to realize is that plundering the country is an act of abandonment.",1,English,English,English,English,English,English
can't believe roxas and binay have more votes than miriam,1,English,English,English,English,English,English
bakit si roxas ayaw pumunta? di lang kasi boo abutin niya! GO VP BINAY! #binayforpresident #NogNogSinunog #onlybinay https://t.co/o2jLkqKNPe,1,Filipino,n/a,n/a,n/a,n/a,n/a
Akala ko na nasa 260M+ lang ang pera nila ayon kay Nancy Binay. Hmmm.. Nakalikom agad sila 300M from supporters? https://t.co/iftPHFhKyJ,0,Filipino,English,English,English,English,English
"Please, Binay had shown much corruption. Please slam him! PLEASE!!! #ForTheFutureOfThePhilippines",1,English,English,English,English,English,English
#Binay saddened by #Aquino veto of #SSSPensionHike https://t.co/LdBh0Ux54Q https://t.co/t2rZWScDZR,0,English,English,English,English,English,n/a
Comparing notes earlier during our breakfast mtg at the BCBP and almost everyone is for Mar Roxas. Wala ng iba. #RoRo2016,0,English,English,English,English,English,English
Tangina talaga nento ni binay bwiset,1,Filipino,n/a,n/a,n/a,n/a,n/a
FULL SPEECH: Mar Roxas' speech during his miting de avance via @rapplerdotcom https://t.co/HzPUNcPVJD,0,English,English,English,English,English,English
Di nako natutuwa sa mga patawa palagi tungkol kay Binay. Masyado na silang bully. Tao pa rin naman siya. Masakit... https://t.co/mN7DFh53k3,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Binay ProWomen,1,English,n/a,n/a,n/a,n/a,n/a
"Nancy's vote vs Poe was her own, says VP Binay #Halalan2016 https://t.co/uFEEp3xO0Q https://t.co/rzgCuEtdVC | via ANC ALERTS",0,English,English,English,English,English,n/a
Boto naten binay mangurakot man ay taga batangas pa din ahahah aayusin nyan batangas,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Isabela governor from powerful political dynasty endorses Mar Roxas: Gov. Faustino Dy III of the powerful Dy p... https://t.co/N2hc8XC1U9,1,English,English,English,English,n/a,n/a
"@bilbil Yun nga! Yun talaga sumagi sa utak ko! Si Binay ingat na ingat na tumatawid sa putik over chairs, sya naman naggagaganyan.",1,Filipino,Filipino,n/a,n/a,n/a,n/a
"Binay: Nognog, pero 'di tulad ng iba ng Dr. Alvin :D",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
I can never trust Binay and Roxas. For a reason that they hold big positions in office but haven't contributed adequately #PiliPinas2016,0,English,English,English,English,English,English
Sobrang kapal ng mukha ni Binay. Putangina,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
SC urged to remove Binay as Boy Scouts president https://t.co/mirsoVYlnF https://t.co/Ll8Es5tdWv,0,English,English,English,English,n/a,n/a
"If Marcos wins, historians have fucked us all up big time! #VotePH2016 #RoxasRobredo",1,English,English,English,English,n/a,n/a
Alam mo pinagkaiba ni binay kay alma? Si binay nognog si alma moreno! ????,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"@xpeanutgalleryx Also, few people remember that post-Yolanda housing was Binay's turf - and that he failed miserably in that regard.",0,English,English,English,English,English,English
DepEd NETIZENS PUMALAG - Umani ng batikos ang kampanya ni Mar Roxas ngayon sa Marawi Lanao del… — Salman D. Ali https://t.co/1izqGfKYQu,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Don't cheapen the presidency,' Duterte tells Poe's camp https://t.co/dVzxK7Z6Ji",0,English,English,English,English,n/a,n/a
WALAY MARTIAL LAW MAHITABO UNDER DUTERTE. Roxas you are incompetent and weak.,1,English,English,English,English,n/a,n/a
"Results: Binay, Poe and Mar &gt; Miriam
Reality: Binay, Poe and Mar &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; Miriam 

#Election2016",0,English,n/a,n/a,n/a,n/a,n/a
Ah talaga Binay,1,Filipino,n/a,n/a,n/a,n/a,n/a
Didn't the Binay campaign team hire Ronaldo Puno? @v_vangogh @profmssyj @Paulelli @mgvtrb @cocoy @raggster https://t.co/MXuKJRXDxH,0,English,n/a,n/a,n/a,n/a,n/a
@SenGracePOE don't give up; fight until Mar realize that he need to withdraw because you are better than him. don't waste your fight #OBFPOE,0,English,English,English,English,English,English
@vicegandako para po sa inyo sino ang mas maganda si Sen. Nancy Binay or si Senyora? #AskVice,0,Filipino,n/a,n/a,n/a,n/a,n/a
"Wtf, bakit si roxas pumapangalawa kay duterte. Dapat si miriam na lang. -- ayan na, mukang totoo ngang pag kay du30, napupunta kay roxas.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
ginutom mo ang mga tacloban at hindi ibinigay ang dapat sakanila. wala kang kwenta mar roxas   #OnlyBinayUNAsaSeniorCitizen,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Binay: Don't pre-judge INC leaders https://t.co/qCV2CYwvmR,0,English,English,English,English,English,n/a
"""@Team_Inquirer: Binay not speaking for gov’t—Palace http://t.co/gftOJjvksU | @TJBurgonio"" bwahahaha!",1,English,n/a,n/a,n/a,n/a,n/a
bakit si roxas ayaw pumunta? di lang kasi boo abutin niya! GO VP BINAY! #binayforpresident #NogNogSinunog #onlybinay https://t.co/qqezYNW78z,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Can't stand Binay's Political Ad Campaign on TV.,0,English,English,English,English,n/a,n/a
Duterte says his votes to go to Binay https://t.co/rHIsFxi7w5,0,English,English,English,English,English,English
Tuwid na daan? Ganun? Oh. he's endorsing Mar Roxas . Goodluck Deej! https://t.co/lLacOVv3p2,1,English,n/a,n/a,n/a,n/a,n/a
Panuorin ang tapatan nina Mike Enriquez at Vice President Jejomar Binay sa #WantedPresident! Ilang sandali na lang!,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Knock knock. Who's there? Binay. Binay who?

It's Binay long day without you, my friend. ????",1,English,English,English,English,n/a,n/a
Another political advertisement of Binay?! What the !,1,English,English,English,English,English,n/a
Binay: Patuloy ang kahirapan dahil sa maling pamamahala @manila_bulletin,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
RT @SulongKatribu: Lumad march to Mar Roxas' home and Liberal Party's HQ to protest series of IP killings under 5 yrs of Tuwid na Daan http…,0,English,English,English,English,English,n/a
“@NoToBinay2016: He can't even lift Makati from poverty in his family's 29 years of rule there. What more the whole Philippines? ??Binay??????????,1,English,English,English,English,English,English
"@FashionPulis wow, supporting Mar Roxas?",1,English,English,English,English,English,English
Bakit ganon? yung boto ni Mar Roxas napaka taas? Nataasan pa si Boss Nognog!,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Gising, Pinas! Ikampanya na Natin Ang pinakamahusay na tambalan #RoxasRobredo! Bayan bago Ang sarili!",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @hallowbae: Is DJ endorsing Mar Roxas sa 2016 election? DJ, noooo. :( #OTWOLLoveShots",0,English,n/a,n/a,n/a,n/a,n/a
"VP #Binay not immune from suit, says Cayetano
https://t.co/En5PTg4O7t | @carvajal_nancy #VotePH2016 https://t.co/4k2BUXbRe1",0,English,English,English,English,n/a,n/a
Si binay kawawa,0,Filipino,English,English,English,English,English
If binay wins.. I dont want to live in this country anymore.. I give up.. Incurable na kabobohan sa atin.. :( https://t.co/mLHgqDiiQy,1,English,English,n/a,n/a,n/a,n/a
MAR ROXAS! Taas ka naman pls!,0,Filipino,English,English,English,English,English
WTF! No.2 na si Mar Roxas nangangamoy dayaan!,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Only binay! Yeaaa!,0,English,n/a,n/a,n/a,n/a,n/a
@ayeemacaraig @rapplerdotcom Makati was already successful when I was a kid in the 80's waaay before Binay,0,English,English,English,English,English,English
It's about time. Mar Roxas is my President. #RoxasNa https://t.co/k6KvQ9fJiK,0,English,English,English,English,English,English
Mka highblood ang advertisement ni Mar Roxas ????,1,Filipino,English,English,English,English,English
Uhmm. None. Nothing that breaks my heart on my feed. Except Binay's rating and Duterte's oversized billboard.,1,English,English,English,English,English,n/a
